ev_status,ev_conn,ev_arrival,ev_departure
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,1,0.42458,0.45931
0.57542,2,0.42458,0.45931
